participant_file,sent_id,condition,authority_rating,explanation_text
no.001,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""It sounds authoritative because it uses formal legislative language to clearly define who has authority, what actions are permitted, and what limits apply, which signals official and enforceable government power.""}"
no.001,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""It sounds very authoritative because it clearly says what the law allows and what the court can do. For example, it explains that if not all partners agree, the petition is considered involuntary, the court can require the petitioners to post a bond, and the bond can cover costs, attorney fees, or damages later determined by the court.""}"
no.001,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""This draft legislation sounds very authoritative because it clearly says what the Librarian can do and how the seal can be used. It states, “The Librarian shall provide a seal”, showing it is an official duty, and explains the purpose, “to indicate that a film has been included in the National Film Registry”.""}"
no.001,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""This draft legislation sounds authoritative because it clearly lays out official rules and limits for subpoenas and witnesses.""}"
no.001,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""This legislation sounds very authoritative because it clearly requires state agencies to report or index child abuse crimes, including all serious arrests and outcomes, in the national background check system.""}"
no.001,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""The text says “Both the officer…are pecuniarily responsible to the United States” and that the agent “is subject…to the liabilities and penalties prescribed by law,” which sets enforceable duties and consequences.""}"
no.001,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""This draft legislation sounds very authoritative because it clearly gives the liquidating agent the power to disallow claims and explicitly removes the ability of courts to review that decision.""}"
no.001,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""This draft legislation sounds very authoritative because it clearly gives the Secretary the power to adjust lease terms, sets formal procedures for notice, and establishes that a lessee is legally deemed to agree if they don’t object within a set period.""}"
no.001,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""It grants a specific legal power to the Secretary and sets a binding limit on how that power can be used.""}"
no.001,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""This legislation sounds very authoritative because it clearly sets rules and a legal way to enforce them: the State can petition the court of appeals if a time limit isn’t met, and missing a time limit doesn’t let someone challenge a conviction.""}"
no.001,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""This draft legislation sounds  authoritative because it clearly establishes a legal rule: if new appropriation bills aren’t passed, the previous year’s appropriations “shall be deemed to be reappropriated, item by item,” giving the government enforceable authority to continue spending""}"
no.001,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""This draft legislation sounds authoritative because it clearly imposes a legal duty on the operator.  The text says “the operator shall examine and test…as frequently…as may be necessary to insure safety” and “when dangerous conditions are found, they shall be corrected immediately,” which sets enforceable safety requirements.""}"
no.001,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""This draft legislation sounds very authoritative because it gives the Secretary of the Treasury clear legal power to create rules about mortality tables for pension plans. It also tells exactly what the Secretary must consider, like the actual experience of pension plans, projected trends, and independent studies.""}"
no.001,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""It gives the Administrator explicit legal power to direct federal employees and authorize certain contractors to carry firearms.  ""}"
no.001,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""It clearly restricts how funds may be used, which is a direct and enforceable limitation.  It references specific acts giving it formal legal grounding.""}"
no.001,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""The language is formal but not dramatic or sweeping, so it can read as informative and procedural rather than strongly authoritative.""}"
no.002,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""It seemed like it was fairly authoritative.""}"
no.002,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""The provision sounds authoritative because it uses clear, mandatory language (“shall,” “shall provide,” “shall give notice”) and precisely defines procedures, timelines, and consequences.""}"
no.002,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""The provision allows contract inspectors to act on behalf of the Secretary to conduct inspections or examinations, providing flexibility where Coast Guard inspectors are unavailable. However, it clearly limits their authority by prohibiting them from issuing certificates of inspection or compliance.""}"
no.002,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""The draft uses formal, precise language typical of legislation, using phrases like “shall provide,” “shall establish guidelines,” and “may only be used” convey clear legal obligations and restrictions, which makes it sound highly authoritative.""}"
no.002,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""The draft uses formal legal language and precise references (e.g., “paragraph (2)(A),” “Secretary determines there exists a safety concern”), which is characteristic of authoritative legislative text.""}"
no.002,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""The draft uses formal legal language like “shall report,” and “authorized criminal justice agency,” which are hallmarks of authoritative legislation.""}"
no.002,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""It clearly establishes rules, procedures, and deadlines, which is typical of enforceable legislation rather than informal guidance.""}"
no.002,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""It clearly specifies who has authority, what action is permitted, and the legal limitation based on appropriations, which makes it sound like enforceable, official legislation.""}"
no.002,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""It precisely states restrictions on fund usage and distinguishes between different legislative sources, which is characteristic of official, enforceable legislation.""}"
no.002,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""It clearly defines witness rights, service rules, and limitations on classified information, which is characteristic of enforceable, official legislation.""}"
no.002,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""It clearly sets mandatory safety procedures and defines the operator’s duties, making it sound like official, authoritative legislation.""}"
no.002,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""It clearly defines who has authority, under what conditions, and the limits on judicial review, making it sound like enforceable, official legislation.""}"
no.002,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""It clearly defines what happens when the legislature does not act, specifying how prior appropriations continue, which is characteristic of enforceable, official legislation.""}"
no.002,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""It uses formal legal language specifying the Secretary’s regulatory authority, the required basis for the mortality tables, and the mandatory consideration of independent studies, all of which indicate enforceable legislative intent.""}"
no.002,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""It specifies who may carry firearms, under what circumstances, and the limits of authority, making it sound like binding legislation rather than guidance or policy.""}"
no.002,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""It clearly defines legal effects, court authority, and potential liabilities, making it sound like official, authoritative law.""}"
no.003,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""I believe the rating is neutral because the words used are not overall passive or agressive so it feels very neautral. If used like has to be or may be it would of affected my rating""}"
no.003,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""The use of may enforce makes it sound much less authoritive""}"
no.003,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""the fact it has to be provide in advance makes it very authoritive""}"
no.003,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""it has a lot of conditions that have to be met and if they arent it as solutions which is very authoritive""}"
