"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":2171},{""page_index"":1,""viewing_time"":1797}]","3968","instructions","0","3984","0.0-0.0","","","","","","","","","","","","",""
"","6917","html-button-response","1","10902","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may also contract for inspections or examinations in the United States and in foreign countries. The primary reason for including a provision that permits the contracting for the conduct of inspections and examinations is to provide flexibility in foreign areas where Coast Guard marine inspectors are not normally available. A contract inspector may be authorized to act on behalf of the Secretary, but may not issue a certificate of inspection or compliance.</p>
            </div>
            ","0","read","LLM","low","low","partial_may","/us/usc/t46/s3714__s19_k3","/us/usc/t46/s3714","","","",""
"","15567","survey-multi-choice","2","26474","0.0-2.0","","{""comp"":""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""}","comprehension","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""","","false"
"","67674","survey-likert","3","94150","0.0-3.0","","{""Q0"":3}","authority_rating","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","","",""
"","7319","survey-text","4","101498","0.0-4.0","","{""Q0"":""It sounds authoritative because it uses formal legislative language to clearly define who has authority, what actions are permitted, and what limits apply, which signals official and enforceable government power.""}","authority_explanation","LLM","","","","/us/usc/t46/s3714__s19_k3","","","","",""
"","4716","html-button-response","5","106216","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t11/s303__s55_k3","/us/usc/t11/s303","","","",""
"","10708","survey-multi-choice","6","116925","0.0-6.0","","{""comp"":""That the petitioners file a bond to cover possible costs, fees, or damages.""}","comprehension","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","""That the petitioners file a bond to cover possible costs, fees, or damages.""","","false"
"","41321","survey-likert","7","158249","0.0-7.0","","{""Q0"":3}","authority_rating","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","","",""
"","3611","survey-text","8","161865","0.0-8.0","","{""Q0"":""It sounds very authoritative because it clearly says what the law allows and what the court can do. For example, it explains that if not all partners agree, the petition is considered involuntary, the court can require the petitioners to post a bond, and the bond can cover costs, attorney fees, or damages later determined by the court.""}","authority_explanation","HHM","","","","/us/usc/t11/s303__s55_k3","","","","",""
"","10876","html-button-response","9","172744","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Librarian shall provide a seal to indicate that a film has been included in the National Film Registry and is the Registry version of that film. The Librarian shall establish guidelines for approval of the use of the seal in accordance with subsection (b). The seal provided under subsection (a)(3) may only be used on film or other approved copies of the Registry version of a film.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t2/s179m__s7_k3","/us/usc/t2/s179m","","","",""
