"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":61552},{""page_index"":1,""viewing_time"":94717}]","156282","instructions","0","156309","0.0-0.0","","","","","","","","","","","","",""
"","84418","html-button-response","1","240751","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Librarian shall provide a seal to indicate that a film has been included in the National Film Registry and is the Registry version of that film. The Librarian shall establish guidelines for approval of the use of the seal in accordance with subsection (b). The seal provided under subsection (a)(3) may only be used on film or other approved copies of the Registry version of a film.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t2/s179m__s7_k3","/us/usc/t2/s179m","","","",""
"","12214","survey-multi-choice","2","252991","0.0-2.0","","{""comp"":""To indicate that a film is included in the National Film Registry, and it may be used only on the Registry version of that film or approved copies.""}","comprehension","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","""To indicate that a film is included in the National Film Registry, and it may be used only on the Registry version of that film or approved copies.""","","false"
"","19429","survey-likert","3","272428","0.0-3.0","","{""Q0"":3}","authority_rating","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","","",""
"","35134","survey-text","4","307612","0.0-4.0","","{""Q0"":""The draft seems fairly authoritative because it includes the words 'shall' multiple times and indicates that they must do this for a film. ""}","authority_explanation","LLS","","","","/us/usc/t2/s179m__s7_k3","","","","",""
"","70863","html-button-response","5","378477","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The liquidating agent may disallow any portion of any claim by a creditor or claim of security, preference, or priority which is not proved to the satisfaction of the liquidating agent. No court may review the Board’s determination pursuant to subparagraph (D) to disallow a claim.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t12/s1787__s49_k3","/us/usc/t12/s1787","","","",""
"","13078","survey-multi-choice","6","391559","0.0-6.0","","{""comp"":""The liquidating agent may disallow a claim, and no court may review that determination.""}","comprehension","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","""The liquidating agent may disallow a claim, and no court may review that determination.""","","false"
"","12726","survey-likert","7","404287","0.0-7.0","","{""Q0"":0}","authority_rating","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","","",""
"","62485","survey-text","8","466776","0.0-8.0","","{""Q0"":""The words 'may' is used, which gives provides a determination among the liquidating agent to use judgment to either do or not do anything. It gives a choice in determination. ""}","authority_explanation","LHM","","","","/us/usc/t12/s1787__s49_k3","","","","",""
"","24706","html-button-response","9","491484","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>As the Administrator deems necessary in the public interest, the Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties; and authorize employees of contractors and subcontractors of the Administration who are engaged in the protection of property owned by the United States, and located at facilities owned by or contracted to the United States, to carry firearms while in the conduct of their official duties.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t51/s20133__s1_k3","/us/usc/t51/s20133","","","",""
