"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":6863},{""page_index"":1,""viewing_time"":24225}]","31087","instructions","0","31092","0.0-0.0","","","","","","","","","","","","",""
"","23099","html-button-response","1","54192","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The liquidating agent may disallow any portion of any claim by a creditor or claim of security, preference, or priority which is not proved to the satisfaction of the liquidating agent. No court may review the Board’s determination pursuant to subparagraph (D) to disallow a claim.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t12/s1787__s49_k3","/us/usc/t12/s1787","","","",""
"","28837","survey-multi-choice","2","83029","0.0-2.0","","{""comp"":""The liquidating agent may disallow a claim, and no court may review that determination.""}","comprehension","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","""The liquidating agent may disallow a claim, and no court may review that determination.""","","false"
"","28385","survey-likert","3","111415","0.0-3.0","","{""Q0"":4}","authority_rating","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","","",""
"","54070","survey-text","4","165489","0.0-4.0","","{""Q0"":""It sounds very authoritative because it gives the liquidating agent broad discretion to disallow claims and explicityly bars any court review of those decisions, leaving no external check or appeal.""}","authority_explanation","LHM","","","","/us/usc/t12/s1787__s49_k3","","","","",""
"","16223","html-button-response","5","181712","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The failure of a court to meet or comply with a time limitation under this section shall not be a ground for granting relief from a judgment of conviction or sentence. The State may enforce a time limitation under this section by petitioning for a writ of mandamus to the court of appeals. The court of appeals shall act on the petition for a writ of mandamus not later than 30 days after the filing of the petition.</p>
            </div>
            ","0","read","LHS","low","high","S","/us/usc/t28/s2266__s13_k3","/us/usc/t28/s2266","","","",""
"","18935","survey-multi-choice","6","200647","0.0-6.0","","{""comp"":""The State may petition for a writ of mandamus to the court of appeals.""}","comprehension","LHS","","","","/us/usc/t28/s2266__s13_k3","","[0]","""The State may petition for a writ of mandamus to the court of appeals.""","","false"
"","29758","survey-likert","7","230405","0.0-7.0","","{""Q0"":3}","authority_rating","LHS","","","","/us/usc/t28/s2266__s13_k3","","[0]","","",""
"","109658","survey-text","8","340064","0.0-8.0","","{""Q0"":""This legislation sounds fairly authoritative in that it clearly states that missing the time limnit is not grounds for relief, but it gives the state a specific, formal remedy which is the ability to petition for a writ of mandamus and imposes a clear 30 day deadline in the court of appeals. ""}","authority_explanation","LHS","","","","/us/usc/t28/s2266__s13_k3","","","","",""
"","17246","html-button-response","9","357311","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Librarian shall provide a seal to indicate that a film has been included in the National Film Registry and is the Registry version of that film. The Librarian shall establish guidelines for approval of the use of the seal in accordance with subsection (b). The seal provided under subsection (a)(3) may only be used on film or other approved copies of the Registry version of a film.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t2/s179m__s7_k3","/us/usc/t2/s179m","","","",""
