"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":3635},{""page_index"":1,""viewing_time"":14688}]","18323","instructions","0","18332","0.0-0.0","","","","","","","","","","","","",""
"","1107711","html-button-response","1","1126043","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t11/s303__s55_k3","/us/usc/t11/s303","","","",""
"","102895","survey-multi-choice","2","1228939","0.0-2.0","","{""comp"":""That the petitioners file a bond to cover possible costs, fees, or damages.""}","comprehension","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","""That the petitioners file a bond to cover possible costs, fees, or damages.""","","false"
"","16572","survey-likert","3","1245512","0.0-3.0","","{""Q0"":3}","authority_rating","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","","",""
"","145775","survey-text","4","1391291","0.0-4.0","","{""Q0"":""I gave the rating, because the legislative language included the use of the word \""may\"" in stating what the court in the petition.""}","authority_explanation","HHM","","","","/us/usc/t11/s303__s55_k3","","","","",""
"","45775","html-button-response","5","1437067","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>Where miners are exposed to danger from falls of roof, face, and ribs the operator shall examine and test the roof, face, and ribs before any work or machine is started, and as frequently thereafter as may be necessary to insure safety. When dangerous conditions are found, they shall be corrected immediately.</p>
            </div>
            ","0","read","HLS","high","low","S","/us/usc/t30/s862__s31_k3","/us/usc/t30/s862","","","",""
"","10703","survey-multi-choice","6","1447771","0.0-6.0","","{""comp"":""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately.""}","comprehension","HLS","","","","/us/usc/t30/s862__s31_k3","","[0]","""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately.""","","false"
"","4463","survey-likert","7","1452235","0.0-7.0","","{""Q0"":4}","authority_rating","HLS","","","","/us/usc/t30/s862__s31_k3","","[0]","","",""
"","65399","survey-text","8","1517635","0.0-8.0","","{""Q0"":""It is very authoritative because specific instructions are clearly stated that must be carried out when/if miners are exposed to danger.""}","authority_explanation","HLS","","","","/us/usc/t30/s862__s31_k3","","","","",""
"","78199","html-button-response","9","1595835","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary of the Treasury may contribute on behalf of the United States $150,000,000 to the first replenishment of the resources of the Enterprise for the Americas Multilateral Investment Fund. The authority provided by paragraph (1) may be exercised only to the extent and in the amounts provided for in advance in appropriations Acts.</p>
            </div>
            ","0","read","LLM","low","low","partial_may","/us/usc/t22/s283z–11__s1_k3","/us/usc/t22/s283z–11","","","",""
"","35319","survey-multi-choice","10","1631155","0.0-10.0","","{""comp"":""Only to the extent and in the amounts authorized in advance by appropriations Acts.""}","comprehension","LLM","","","","/us/usc/t22/s283z–11__s1_k3","","[0]","""Only to the extent and in the amounts authorized in advance by appropriations Acts.""","","false"
"","32967","survey-likert","11","1664123","0.0-11.0","","{""Q0"":2}","authority_rating","LLM","","","","/us/usc/t22/s283z–11__s1_k3","","[0]","","",""
"","96551","survey-text","12","1760675","0.0-12.0","","{""Q0"":""I rated this neutral because the Treasury Secretary may only contribute as provided in advance by the appropriations acts.""}","authority_explanation","LLM","","","","/us/usc/t22/s283z–11__s1_k3","","","","",""
"","20583","html-button-response","13","1781259","0.0-13.0","<p>Trial 4 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The liquidating agent may disallow any portion of any claim by a creditor or claim of security, preference, or priority which is not proved to the satisfaction of the liquidating agent. No court may review the Board’s determination pursuant to subparagraph (D) to disallow a claim.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t12/s1787__s49_k3","/us/usc/t12/s1787","","","",""
"","40687","survey-multi-choice","14","1821947","0.0-14.0","","{""comp"":""The liquidating agent may disallow a claim, and no court may review that determination.""}","comprehension","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","""The liquidating agent may disallow a claim, and no court may review that determination.""","","false"
"","15407","survey-likert","15","1837355","0.0-15.0","","{""Q0"":4}","authority_rating","LHM","","","","/us/usc/t12/s1787__s49_k3","","[0]","","",""
"","65247","survey-text","16","1902603","0.0-16.0","","{""Q0"":""The draft legislature does not allow any court's to review the liquidating agent's decisions.""}","authority_explanation","LHM","","","","/us/usc/t12/s1787__s49_k3","","","","",""
"","31095","html-button-response","17","1933699","0.0-17.0","<p>Trial 5 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The failure of a court to meet or comply with a time limitation under this section shall not be a ground for granting relief from a judgment of conviction or sentence. The State may enforce a time limitation under this section by petitioning for a writ of mandamus to the court of appeals. The court of appeals shall act on the petition for a writ of mandamus not later than 30 days after the filing of the petition.</p>
            </div>
            ","0","read","LHS","low","high","S","/us/usc/t28/s2266__s13_k3","/us/usc/t28/s2266","","","",""
"","40311","survey-multi-choice","18","1974011","0.0-18.0","","{""comp"":""The State may petition for a writ of mandamus to the court of appeals.""}","comprehension","LHS","","","","/us/usc/t28/s2266__s13_k3","","[0]","""The State may petition for a writ of mandamus to the court of appeals.""","","false"
"","35759","survey-likert","19","2009771","0.0-19.0","","{""Q0"":4}","authority_rating","LHS","","","","/us/usc/t28/s2266__s13_k3","","[0]","","",""
"","47007","survey-text","20","2056779","0.0-20.0","","{""Q0"":""The legislation gives a specific time line of 30 days for the court of appeal to act on the petition.""}","authority_explanation","LHS","","","","/us/usc/t28/s2266__s13_k3","","","","",""
"","15943","html-button-response","21","2072723","0.0-21.0","<p>Trial 6 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may readjust the terms and conditions, except as otherwise provided herein, of any geothermal lease issued under this chapter at not less than ten-year intervals beginning ten years after the date the geothermal steam is produced, as determined by the Secretary. Each geothermal lease issued under this chapter shall provide for such readjustment. The Secretary shall give notice of any proposed readjustment of terms and conditions, and, unless the lessee files with the Secretary objection to the proposed terms or relinquishes the lease within thirty days after receipt of such notice, the lessee shall conclusively be deemed to have agreed with such terms and conditions.</p>
            </div>
            ","0","read","HHS","high","high","S","/us/usc/t30/s1007__s1_k3","/us/usc/t30/s1007","","","",""
"","25559","survey-multi-choice","22","2098283","0.0-22.0","","{""comp"":""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""}","comprehension","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""","","false"
"","50503","survey-likert","23","2148787","0.0-23.0","","{""Q0"":4}","authority_rating","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","","",""
"","53446","survey-text","24","2202235","0.0-24.0","","{""Q0"":""Al terms and actions are specifically stated to happen with specific time lines in the legislation""}","authority_explanation","HHS","","","","/us/usc/t30/s1007__s1_k3","","","","",""
"","18615","html-button-response","25","2220851","0.0-25.0","<p>Trial 7 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A subpoena under this subsection may be served anywhere in the United States. A witness subpoenaed under this subsection shall receive the same fees and expenses as a witness subpoenaed in connection with a civil proceeding in a court of the United States. Nothing in this subsection is intended to allow an alien to have access to classified information.</p>
            </div>
            ","0","read","LHS","low","high","S","/us/usc/t8/s1534__s31_k4","/us/usc/t8/s1534","","","",""
"","47767","survey-multi-choice","26","2268618","0.0-26.0","","{""comp"":""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""}","comprehension","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""","","false"
"","24039","survey-likert","27","2292659","0.0-27.0","","{""Q0"":4}","authority_rating","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","","",""
"","150191","survey-text","28","2442851","0.0-28.0","","{""Q0"":""The legislation is very specific about the subpoena jurisdiction, as well as fees and expenses for witnesses. Also legislature is very specific about aliens not having access to classified information.""}","authority_explanation","LHS","","","","/us/usc/t8/s1534__s31_k4","","","","",""
"","39975","html-button-response","29","2482827","0.0-29.0","<p>Trial 8 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>In each State, an authorized criminal justice agency of the State shall report child abuse crime information to, or index child abuse crime information in, the national criminal history background check system. A criminal justice agency may satisfy the requirement of this subsection by reporting or indexing all felony and serious misdemeanor arrests and dispositions.</p>
            </div>
            ","0","read","HHS","high","high","S","/us/usc/t34/s40101__s1_k3","/us/usc/t34/s40101","","","",""
"","21559","survey-multi-choice","30","2504387","0.0-30.0","","{""comp"":""By reporting or indexing child abuse crime information, including through reporting or indexing all felony and serious misdemeanor arrests and dispositions.""}","comprehension","HHS","","","","/us/usc/t34/s40101__s1_k3","","[0]","""By reporting or indexing child abuse crime information, including through reporting or indexing all felony and serious misdemeanor arrests and dispositions.""","","false"
"","2879","survey-likert","31","2507267","0.0-31.0","","{""Q0"":4}","authority_rating","HHS","","","","/us/usc/t34/s40101__s1_k3","","[0]","","",""
"","56303","survey-text","32","2563571","0.0-32.0","","{""Q0"":""Authoritative rating, because legislature clearly states that all child abuse crimes must be reported and indexed.""}","authority_explanation","HHS","","","","/us/usc/t34/s40101__s1_k3","","","","",""
"","42751","html-button-response","33","2606323","0.0-33.0","<p>Trial 9 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>As the Administrator deems necessary in the public interest, the Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties; and authorize employees of contractors and subcontractors of the Administration who are engaged in the protection of property owned by the United States, and located at facilities owned by or contracted to the United States, to carry firearms while in the conduct of their official duties.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t51/s20133__s1_k3","/us/usc/t51/s20133","","","",""
"","16383","survey-multi-choice","34","2622706","0.0-34.0","","{""comp"":""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""}","comprehension","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""","","false"
"","4480","survey-likert","35","2627187","0.0-35.0","","{""Q0"":3}","authority_rating","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","","",""
"","101598","survey-text","36","2728787","0.0-36.0","","{""Q0"":""The legislature allows the administrator to use his/her discretion in deciding when officer, employees and contractors may carry firearms for public safety.""}","authority_explanation","HHM","","","","/us/usc/t51/s20133__s1_k3","","","","",""
"","29415","html-button-response","37","2758203","0.0-37.0","<p>Trial 10 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A property and fiscal officer may intrust money to an officer of the National Guard to make disbursements as his agent. Both the officer to whom money is intrusted, and the property and disbursing officer intrusting the money to him, are pecuniarily responsible for that money to the United States. The agent officer is subject, for misconduct as an agent, to the liabilities and penalties prescribed by law in like cases for the property and fiscal officer for whom he is acting.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t32/s708__s7_k3","/us/usc/t32/s708","","","",""
"","23895","survey-multi-choice","38","2782099","0.0-38.0","","{""comp"":""Both the agent officer and the property and fiscal officer remain financially responsible to the United States for the money.""}","comprehension","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","""Both the agent officer and the property and fiscal officer remain financially responsible to the United States for the money.""","","false"
"","17511","survey-likert","39","2799610","0.0-39.0","","{""Q0"":4}","authority_rating","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","","",""
"","82735","survey-text","40","2882347","0.0-40.0","","{""Q0"":""Authoritative because the legislature determines that both officers are pecuniarily responsible for the money handled to the United States.  ""}","authority_explanation","LHM","","","","/us/usc/t32/s708__s7_k3","","","","",""
"","30767","html-button-response","41","2913115","0.0-41.0","<p>Trial 11 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>No funds provided under this section may be used to construct or renovate a building or structure. Section was enacted as part of the America COMPETES Reauthorization Act of 2010, also known as the America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010, and also as part of the National Science Foundation Authorization Act of 2010, and not as part of the National Science Foundation Act of 1950 which comprises this chapter.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t42/s1862p–2__s10_k3","/us/usc/t42/s1862p–2","","","",""
"","11391","survey-multi-choice","42","2924506","0.0-42.0","","{""comp"":""They may not be used to construct or renovate a building or structure.""}","comprehension","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","[0]","""They may not be used to construct or renovate a building or structure.""","","false"
"","15952","survey-likert","43","2940459","0.0-43.0","","{""Q0"":4}","authority_rating","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","[0]","","",""
"","82757","survey-text","44","3023219","0.0-44.0","","{""Q0"":""Legislature specifically states that no funds under the acts stated may be used for construction or renovation of building structures.""}","authority_explanation","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","","","",""
"","32887","html-button-response","45","3056107","0.0-45.0","<p>Trial 12 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary of the Treasury may by regulation prescribe for plan years beginning after December 31, 1999, mortality tables to be used in determining current liability under this subsection. Such tables shall be based upon the actual experience of pension plans and projected trends in such experience. In prescribing such tables, such Secretary shall take into account results of available independent studies of mortality of individuals covered by pension plans.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t29/s1084__s70_k3","/us/usc/t29/s1084","","","",""
"","22423","survey-multi-choice","46","3078530","0.0-46.0","","{""comp"":""Actual experience and projected trends of pension plans, along with results of available independent mortality studies.""}","comprehension","LLS","","","","/us/usc/t29/s1084__s70_k3","","[0]","""Actual experience and projected trends of pension plans, along with results of available independent mortality studies.""","","false"
"","27887","survey-likert","47","3106419","0.0-47.0","","{""Q0"":2}","authority_rating","LLS","","","","/us/usc/t29/s1084__s70_k3","","[0]","","",""
"","92422","survey-text","48","3198843","0.0-48.0","","{""Q0"":""The secretary may prescribe for plan years by taking into account results of other available independent studies.""}","authority_explanation","LLS","","","","/us/usc/t29/s1084__s70_k3","","","","",""
"","23127","html-button-response","49","3221971","0.0-49.0","<p>Trial 13 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Librarian shall provide a seal to indicate that a film has been included in the National Film Registry and is the Registry version of that film. The Librarian shall establish guidelines for approval of the use of the seal in accordance with subsection (b). The seal provided under subsection (a)(3) may only be used on film or other approved copies of the Registry version of a film.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t2/s179m__s7_k3","/us/usc/t2/s179m","","","",""
"","29855","survey-multi-choice","50","3251827","0.0-50.0","","{""comp"":""To identify films approved for public exhibition, and it may be used on all versions of the film.""}","comprehension","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","""To indicate that a film is included in the National Film Registry, and it may be used only on the Registry version of that film or approved copies.""","","false"
"","2727","survey-likert","51","3254554","0.0-51.0","","{""Q0"":4}","authority_rating","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","","",""
"","75887","survey-text","52","3330443","0.0-52.0","","{""Q0"":""Legislature specifically instructs the Librarian on how to the use of seal.""}","authority_explanation","LLS","","","","/us/usc/t2/s179m__s7_k3","","","","",""
"","21535","html-button-response","53","3351979","0.0-53.0","<p>Trial 14 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>If at the termination of any fiscal year the legislature shall have failed to pass appropriation bills providing for payments of the necessary current expenses of the government and meeting its legal obligations for the ensuing fiscal year, then the several sums appropriated in the last appropriation bills for the objects and purposes therein specified, so far as the same may be applicable, shall be deemed to be reappropriated, item by item.</p>
            </div>
            ","0","read","HLS","high","low","S","/us/usc/t48/s1423j__s1_k3","/us/usc/t48/s1423j","","","",""
"","22895","survey-multi-choice","54","3374875","0.0-54.0","","{""comp"":""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes.""}","comprehension","HLS","","","","/us/usc/t48/s1423j__s1_k3","","[0]","""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes.""","","false"
"","29622","survey-likert","55","3404497","0.0-55.0","","{""Q0"":4}","authority_rating","HLS","","","","/us/usc/t48/s1423j__s1_k3","","[0]","","",""
"","81080","survey-text","56","3485579","0.0-56.0","","{""Q0"":""Specific instructions are given for item by item re-appropriation.""}","authority_explanation","HLS","","","","/us/usc/t48/s1423j__s1_k3","","","","",""
"","25071","html-button-response","57","3510651","0.0-57.0","<p>Trial 15 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may also contract for inspections or examinations in the United States and in foreign countries. The primary reason for including a provision that permits the contracting for the conduct of inspections and examinations is to provide flexibility in foreign areas where Coast Guard marine inspectors are not normally available. A contract inspector may be authorized to act on behalf of the Secretary, but may not issue a certificate of inspection or compliance.</p>
            </div>
            ","0","read","LLM","low","low","partial_may","/us/usc/t46/s3714__s19_k3","/us/usc/t46/s3714","","","",""
"","17919","survey-multi-choice","58","3528571","0.0-58.0","","{""comp"":""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""}","comprehension","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""","","false"
"","8799","survey-likert","59","3537371","0.0-59.0","","{""Q0"":3}","authority_rating","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","","",""
"","77006","survey-text","60","3614379","0.0-60.0","","{""Q0"":""The secretary \""may\"" contract in the united states or in foreign countries. ""}","authority_explanation","LLM","","","","/us/usc/t46/s3714__s19_k3","","","","",""
"","8935","html-button-response","61","3623315","0.0-61.0","<p>Trial 16 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>An apprentice may:
A) drive a commercial motor vehicle in interstate commerce while participating in the 120-hour probationary period under paragraph (2)(A) or the 280-hour probationary period under paragraph (2)(B) pursuant to an apprenticeship program established by an employer in accordance with this section; and 
(B) drive a commercial motor vehicle in interstate commerce after the apprentice completes an apprenticeship program described in paragraph (2), unless the Secretary determines there exists a safety concern.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t49/s31315__s142_k3","/us/usc/t49/s31315","","","",""
"","28407","survey-multi-choice","62","3651723","0.0-62.0","","{""comp"":""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""}","comprehension","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""","","false"
