section_id,sent_idx_in_section,chunk_start_sent,chunk_n_sents,sent_id,exclude?,sent_text,word_count,mean_dep_len,jargon_rate,jargon_hits,jargon_denom,phrase_hits,source_xml,sem_level,syn_level,condition,is_amendment_note,shall,may,modal_pres,x2x2x2_condition,selected?,comp_prompt,comp_option,comp_correct,notes
/us/usc/t48/s1423j,1,1,3,/us/usc/t48/s1423j__s1_k3,n,"If at the termination of any fiscal year the legislature shall have failed to pass appropriation bills providing for payments of the necessary current expenses of the government and meeting its legal obligations for the ensuing fiscal year, then the several sums appropriated in the last appropriation bills for the objects and purposes therein specified, so far as the same may be applicable, shall be deemed to be reappropriated, item by item.",72,4.25,0.041666666666666664,3,119,0,usc48.xml,low,high,HL,False,True,True,S,HLS,Y,What happens if the legislature does not pass appropriation bills for the next fiscal year by the end of the current fiscal year?,"[ ""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes."",
  ""All prior appropriations automatically expire and no funds may be used."",
  ""The Congress of the United States must immediately enact new appropriation bills."",
  ""Only appropriations made before August 1, 1950 remain available to the government.""]
","""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes.""",
/us/usc/t12/s1787,49,49,3,/us/usc/t12/s1787__s49_k3,n,"The liquidating agent may disallow any portion of any claim by a creditor or claim of security, preference, or priority which is not proved to the satisfaction of the liquidating agent. No court may review the Board’s determination pursuant to subparagraph (D) to disallow a claim.",46,2.127659574468085,0.1956521739130435,9,77,0,usc12.xml,high,low,LH,False,False,True,partial_may,LHM,Y,"According to the draft provision, who has the authority to disallow a claim and what limits exist on reviewing that decision?
","[ ""The liquidating agent may disallow a claim, and no court may review that determination."",
  ""The liquidating agent may disallow a claim, but a court may review the decision if a creditor objects."",
  ""Only a court may disallow a claim after reviewing evidence submitted by the liquidating agent."",
  ""The Board may disallow a claim, but the liquidating agent must approve that decision.""]
","""The liquidating agent may disallow a claim, and no court may review that determination.""",adjusted to remove duplicate
/us/usc/t11/s303,55,55,3,/us/usc/t11/s303__s55_k3,n,"[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.",61,2.622950819672131,0.22950819672131148,14,62,0,usc11.xml,high,high,HH,False,False,True,partial_may,HHM,Y,"According to the excerpt, what may the court require when a partnership petition is treated as involuntary?","[""That the petitioners file a bond to cover possible costs, fees, or damages."",
  ""That all general partners consent to the petition."",
  ""That the debtor immediately pay the petitioners’ attorneys’ fees."",
  ""That the petition be converted into a voluntary petition.""]
","""That the petitioners file a bond to cover possible costs, fees, or damages.""",revised for readability
/us/usc/t30/s862,31,31,3,/us/usc/t30/s862__s31_k3,n,"Where miners are exposed to danger from falls of roof, face, and ribs the operator shall examine and test the roof, face, and ribs before any work or machine is started, and as frequently thereafter as may be necessary to insure safety. When dangerous conditions are found, they shall be corrected immediately.",52,3.3461538461538463,0.019230769230769232,1,94,0,usc30.xml,low,high,HL,False,True,True,S,HLS,Y,"According to the excerpt, what must the operator do when miners face danger from falls of the roof, face, or ribs?","[""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately."",
  ""Provide miners with safety training once per fiscal year before any machine is started."",
  ""Inspect the roof, face, and ribs only after work has begun and only if a miner reports a problem."",
  ""Suspend all mining operations until Congress authorizes additional safety appropriations.""]","""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately.""",adjusted to remove duplicate
/us/usc/t30/s1007,1,1,3,/us/usc/t30/s1007__s1_k3,n,"The Secretary may readjust the terms and conditions, except as otherwise provided herein, of any geothermal lease issued under this chapter at not less than ten-year intervals beginning ten years after the date the geothermal steam is produced, as determined by the Secretary. Each geothermal lease issued under this chapter shall provide for such readjustment. The Secretary shall give notice of any proposed readjustment of terms and conditions, and, unless the lessee files with the Secretary objection to the proposed terms or relinquishes the lease within thirty days after receipt of such notice, the lessee shall conclusively be deemed to have agreed with such terms and conditions.",107,3.25,0.12962962962962962,14,108,0,usc30.xml,high,high,HH,False,True,True,S,HHS,Y,"According to the excerpt, when is a lessee considered to have agreed to a proposed readjustment of a geothermal lease?","[""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice."",
  ""When the Secretary first determines that geothermal steam has been produced under the lease."",
  ""When ten years have passed since the lease was originally issued."",
  ""When Congress approves the proposed readjustment of the lease terms.""]","""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""",
/us/usc/t22/s283z–11,1,1,3,/us/usc/t22/s283z–11__s1_k3,n,"The Secretary of the Treasury may contribute on behalf of the United States $150,000,000 to the first replenishment of the resources of the Enterprise for the Americas Multilateral Investment Fund. The authority provided by paragraph (1) may be exercised only to the extent and in the amounts provided for in advance in appropriations Acts.",54,2.0545454545454547,0.019230769230769232,1,81,0,usc22.xml,low,low,LL,False,False,True,partial_may,LLM,Y,"According to the excerpt, under what condition may the Secretary of the Treasury make the stated contribution?","[""Only to the extent and in the amounts authorized in advance by appropriations Acts."",
  ""Whenever the Secretary determines that the contribution is in the national interest."",
  ""Automatically upon creation of the Enterprise for the Americas Multilateral Investment Fund."",
  ""Only after the Secretary receives written approval from the Fund.""]","""Only to the extent and in the amounts authorized in advance by appropriations Acts.""",adjusted to remove duplication (new wc: 56; still LLM)
/us/usc/t34/s40101,1,1,3,/us/usc/t34/s40101__s1_k3,n,"In each State, an authorized criminal justice agency of the State shall report child abuse crime information to, or index child abuse crime information in, the national criminal history background check system. A criminal justice agency may satisfy the requirement of this subsection by reporting or indexing all felony and serious misdemeanor arrests and dispositions.",55,2.890909090909091,0.23636363636363636,13,87,0,usc34.xml,high,high,HH,False,True,True,S,HHS,Y,"According to the excerpt, how may a state criminal justice agency fulfill its obligation regarding child abuse crime information?
","[""By reporting or indexing child abuse crime information, including through reporting or indexing all felony and serious misdemeanor arrests and dispositions."",
  ""By reporting only convictions for child abuse crimes to local law enforcement agencies."",
  ""By indexing child abuse crime information only after a court order is issued."",
  ""By submitting annual summaries of child abuse investigations to Congress.""]","""By reporting or indexing child abuse crime information, including through reporting or indexing all felony and serious misdemeanor arrests and dispositions.""",revised for duplicate
/us/usc/t8/s1534,31,31,4,/us/usc/t8/s1534__s31_k4,n,A subpoena under this subsection may be served anywhere in the United States. A witness subpoenaed under this subsection shall receive the same fees and expenses as a witness subpoenaed in connection with a civil proceeding in a court of the United States. Nothing in this subsection is intended to allow an alien to have access to classified information.,59,1.6610169491525424,0.1694915254237288,10,89,0,usc08.xml,high,low,LH,False,True,True,S,LHS,Y,"According to the excerpt, what does this subsection provide regarding witnesses who are subpoenaed?","[""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings."",
  ""They may be served only within the state where the proceeding is held and receive reduced fees."",
  ""They are entitled to access classified information relevant to their testimony."",
  ""They must cover their own expenses unless a court orders otherwise.""]","""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""",revised for duplicate
/us/usc/t28/s2266,13,13,3,/us/usc/t28/s2266__s13_k3,n,The failure of a court to meet or comply with a time limitation under this section shall not be a ground for granting relief from a judgment of conviction or sentence. The State may enforce a time limitation under this section by petitioning for a writ of mandamus to the court of appeals. The court of appeals shall act on the petition for a writ of mandamus not later than 30 days after the filing of the petition.,78,1.9230769230769231,0.23376623376623376,18,77,2,usc28.xml,high,low,LH,False,True,True,S,LHS,Y,"According to the excerpt, what remedy is available if a court fails to comply with a time limitation under this section?","[""The State may petition for a writ of mandamus to the court of appeals."",
  ""The defendant is entitled to relief from the judgment or sentence."",
  ""The case must be dismissed automatically for lack of timely action."",
  ""The court may reopen the judgment on its own initiative.""]","""The State may petition for a writ of mandamus to the court of appeals.""",
/us/usc/t42/s1862p–2,10,10,3,/us/usc/t42/s1862p–2__s10_k3,n,"No funds provided under this section may be used to construct or renovate a building or structure. Section was enacted as part of the America COMPETES Reauthorization Act of 2010, also known as the America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010, and also as part of the National Science Foundation Authorization Act of 2010, and not as part of the National Science Foundation Act of 1950 which comprises this chapter.",79,3.8227848101265822,0.013333333333333334,1,87,0,usc42.xml,low,high,HL,False,False,True,partial_may,HLM,Y,"According to the excerpt, how may funds provided under this section be used?","[""They may not be used to construct or renovate a building or structure."",
  ""They may be used only for construction projects authorized by the National Science Foundation Act of 1950."",
  ""They may be used to renovate existing facilities but not to construct new ones."",
  ""They may be used for any purpose described in the America COMPETES Reauthorization Act of 2010.""]","""They may not be used to construct or renovate a building or structure.""",edited for readability
